gvkey,iid,datadate,tic,cshtrm,prccm,trt1m,cmth,cshom,cyear,gind,gsector
001979,01,2022-07-31,BCPC,2123114.0000,135.7600,4.6400,7,32116000,2022,151010,15
001979,01,2022-08-31,BCPC,2070145.0000,131.8200,-2.9022,8,32121000,2022,151010,15
001979,01,2022-09-30,BCPC,2163535.0000,121.5800,-7.7682,9,32121000,2022,151010,15
001979,01,2022-10-31,BCPC,1584299.0000,139.8000,14.9860,10,32121000,2022,151010,15
001979,01,2022-11-30,BCPC,1737875.0000,140.8000,0.7153,11,32135000,2022,151010,15
001979,01,2022-12-31,BCPC,2102701.0000,122.1100,-12.7699,12,32135000,2022,151010,15
001979,01,2023-01-31,BCPC,1829200.0000,130.6300,6.9773,1,32135000,2023,151010,15
001979,01,2023-02-28,BCPC,2224555.0000,130.0000,-0.4823,2,32169000,2023,151010,15
001979,01,2023-03-31,BCPC,2424112.0000,126.4800,-2.7077,3,32169000,2023,151010,15
001979,01,2023-04-30,BCPC,1350907.0000,131.4000,3.8899,4,32169000,2023,151010,15
001979,01,2023-05-31,BCPC,1897116.0000,123.6300,-5.9132,5,32228000,2023,151010,15
001979,01,2023-06-30,BCPC,2137403.0000,134.8100,9.0431,6,32228000,2023,151010,15
001979,01,2023-07-31,BCPC,1781585.0000,134.7400,-0.0519,7,32240000,2023,151010,15
001979,01,2023-08-31,BCPC,1629462.0000,140.5000,4.2749,8,32240000,2023,151010,15
001979,01,2023-09-30,BCPC,2123953.0000,124.0400,-11.7153,9,32240000,2023,151010,15
001979,01,2023-10-31,BCPC,1792754.0000,116.2400,-6.2883,10,32241000,2023,151010,15
001979,01,2023-11-30,BCPC,1504813.0000,124.7200,7.2953,11,32241000,2023,151010,15
001979,01,2023-12-31,BCPC,2728295.0000,148.7500,19.9006,12,32241000,2023,151010,15
001979,01,2024-01-31,BCPC,2315964.0000,140.1600,-5.7748,1,32241000,2024,151010,15
001979,01,2024-02-29,BCPC,2365658.0000,157.1900,12.1504,2,32267000,2024,151010,15
001979,01,2024-03-31,BCPC,1918929.0000,154.9500,-1.4250,3,32267000,2024,151010,15
001979,01,2024-04-30,BCPC,1923900.0000,141.3800,-8.7577,4,32267000,2024,151010,15
001979,01,2024-05-31,BCPC,1986797.0000,153.6000,8.6434,5,32423000,2024,151010,15
001979,01,2024-06-30,BCPC,2059028.0000,153.9500,0.2279,6,32423000,2024,151010,15
